Emote,Platform,Format,ID,URL
PETTHEBELIEVERS,bttv-shared,gif,60a6a25567644f1d67e89d5f,https://betterttv.com/emotes/60a6a25567644f1d67e89d5f
Tssk,bttv-shared,gif,5fa1f87e1b017902db15aedd,https://betterttv.com/emotes/5fa1f87e1b017902db15aedd
OHMEGALUL,bttv-shared,gif,5fd707c6a926f43485ce5e82,https://betterttv.com/emotes/5fd707c6a926f43485ce5e82
xqcL,bttv-shared,gif,5ff51962ff995c0488d89c06,https://betterttv.com/emotes/5ff51962ff995c0488d89c06
Pepege,bttv-shared,png,5f7ccccfccde1f4a870c4c21,https://betterttv.com/emotes/5f7ccccfccde1f4a870c4c21
borpaSpin,bttv-shared,gif,60facedd2d1eba5400d123ea,https://betterttv.com/emotes/60facedd2d1eba5400d123ea
NOPERS,bttv-shared,gif,5f8cc2b4710f8302f0c8917c,https://betterttv.com/emotes/5f8cc2b4710f8302f0c8917c
NODDERS,bttv-shared,gif,5f91eeab40eb9502e222b969,https://betterttv.com/emotes/5f91eeab40eb9502e222b969
PepeJamJam,bttv-shared,gif,61501ce9b63cc97ee6d35ee1,https://betterttv.com/emotes/61501ce9b63cc97ee6d35ee1
blobDance,bttv-shared,gif,5f7a17aae9c9344a8f35020f,https://betterttv.com/emotes/5f7a17aae9c9344a8f35020f
ppHopper,bttv-shared,gif,6147a112b63cc97ee6d25388,https://betterttv.com/emotes/6147a112b63cc97ee6d25388
ppHop,bttv-shared,gif,608e8c9e39b5010444d0a324,https://betterttv.com/emotes/608e8c9e39b5010444d0a324
ppBounce,bttv-shared,gif,6147a08bb63cc97ee6d2534c,https://betterttv.com/emotes/6147a08bb63cc97ee6d2534c
MEGALUL,bttv-shared,gif,5ff3dbaf3855d304824fa0e0,https://betterttv.com/emotes/5ff3dbaf3855d304824fa0e0
PagChomp,bttv-shared,png,602f9b73a94aaa6e662d829f,https://betterttv.com/emotes/602f9b73a94aaa6e662d829f
Clueless,bttv-shared,png,6151dd3fb63cc97ee6d392ae,https://betterttv.com/emotes/6151dd3fb63cc97ee6d392ae
